scenario,topic,explanation_type,mean_rating,sd,n,sem,ci95_low,ci95_high,explanation_type_name
C5,Cold/cough/sore throat,D,3.8295454545454546,1.8017972566945413,88,0.19207223292742495,3.4530838780077016,4.206007031083208,LLM natural-language explanation
C5,Cold/cough/sore throat,E,5.867647058823529,1.5052585612644356,68,0.1825394129987806,5.509869809345919,6.225424308301139,Doctor-written-style explanation
F1,Fever/flu-like symptoms,A,6.333333333333333,1.0335729738966077,84,0.11277205688432909,6.112300101840048,6.554366564826618,Rule-based decision path
F1,Fever/flu-like symptoms,B,4.423913043478261,1.1600842679904713,92,0.12094714569843182,4.186856637909335,4.660969449047187,Local feature-attribution / key-factor explanation
F1,Fever/flu-like symptoms,C,4.472222222222222,1.5396866306605774,36,0.25661443844342957,3.9692579228731004,4.975186521571344,Counterfactual explanation
F1,Fever/flu-like symptoms,D,3.375,1.4531696830238288,48,0.20974697691800268,2.9638959252407147,3.7861040747592853,LLM natural-language explanation
F1,Fever/flu-like symptoms,E,5.875,0.983998967608182,64,0.12299987095102274,5.6339202529359955,6.1160797470640045,Doctor-written-style explanation
F2,Fever/flu-like symptoms,A,6.681818181818182,0.5978016152201956,88,0.06372586630174334,6.5569154838667645,6.806720879769599,Rule-based decision path
F2,Fever/flu-like symptoms,B,4.625,1.3155355574126084,72,0.15503735225641338,4.32112678957743,4.92887321042257,Local feature-attribution / key-factor explanation
F2,Fever/flu-like symptoms,C,4.5,1.5158734579197342,48,0.21879748724684187,4.07115692499619,4.92884307500381,Counterfactual explanation
F2,Fever/flu-like symptoms,D,3.3174603174603177,1.574242232717337,63,0.19833587862595917,2.928721995353438,3.7061986395671975,LLM natural-language explanation
F2,Fever/flu-like symptoms,E,5.857142857142857,1.3480526018096686,112,0.12737899780792725,5.6074800214393195,6.106805692846394,Doctor-written-style explanation
F3,Fever/flu-like symptoms,A,6.238636363636363,1.1546439783861546,88,0.12308546166381007,5.997388858775295,6.479883868497431,Rule-based decision path
F3,Fever/flu-like symptoms,B,4.25,1.492405014489273,56,0.19943100880436643,3.859115222743442,4.6408847772565585,Local feature-attribution / key-factor explanation
F3,Fever/flu-like symptoms,C,4.403846153846154,1.218938188013919,104,0.11952672320281546,4.169573776368636,4.638118531323673,Counterfactual explanation
F3,Fever/flu-like symptoms,D,3.513157894736842,1.8366158811076534,76,0.21067429010132033,3.100236286138254,3.92607950333543,LLM natural-language explanation
F3,Fever/flu-like symptoms,E,5.673076923076923,1.0976115575292194,52,0.15221133658513433,5.37474270337006,5.971411142783786,Doctor-written-style explanation
F4,Fever/flu-like symptoms,A,5.84375,1.4278271870889965,64,0.17847839838612456,5.493932339163196,6.193567660836804,Rule-based decision path
F4,Fever/flu-like symptoms,B,4.359375,1.0292112483114406,64,0.12865140603893008,4.107218244163697,4.611531755836303,Local feature-attribution / key-factor explanation
F4,Fever/flu-like symptoms,C,4.25,1.4097310992355596,80,0.15761272839431065,3.9410790523471513,4.558920947652849,Counterfactual explanation
F4,Fever/flu-like symptoms,D,3.0673076923076925,1.8342185610360047,104,0.17985992759455127,2.714782234222372,3.419833150393013,LLM natural-language explanation
F4,Fever/flu-like symptoms,E,6.203125,0.7596926592431551,64,0.09496158240539439,6.017000298485427,6.389249701514573,Doctor-written-style explanation
F5,Fever/flu-like symptoms,A,6.529411764705882,0.762372342830757,68,0.09245122633943559,6.348207361080589,6.710616168331176,Rule-based decision path
F5,Fever/flu-like symptoms,B,4.288461538461538,1.3333804667385598,52,0.1849066016356917,3.9260445992555826,4.650878477667494,Local feature-attribution / key-factor explanation
F5,Fever/flu-like symptoms,C,4.420454545454546,1.036368448539672,88,0.11047724781850533,4.203919139730275,4.636989951178816,Counterfactual explanation
F5,Fever/flu-like symptoms,D,2.2708333333333335,1.1058756679246546,48,0.15961940364163915,1.9579793021957208,2.583687364470946,LLM natural-language explanation
F5,Fever/flu-like symptoms,E,5.909090909090909,0.9665243292317401,88,0.10303183968366643,5.707148503310923,6.1110333148708955,Doctor-written-style explanation
H1,Headache,A,5.910714285714286,1.7271210823064003,112,0.16319760242426617,5.590846984962724,6.230581586465847,Rule-based decision path
H1,Headache,B,4.45,1.4313343245789742,40,0.2263138279424143,4.006424897232868,4.893575102767132,Local feature-attribution / key-factor explanation
H1,Headache,C,4.379310344827586,1.1989500654198721,116,0.11131971892777082,4.161123695729155,4.5974969939260175,Counterfactual explanation
H1,Headache,D,2.1666666666666665,0.9710083124552245,36,0.1618347187425374,1.8494706179312932,2.48386271540204,LLM natural-language explanation
H1,Headache,E,4.9,1.1652874052533586,20,0.2605661851470855,4.389290277111713,5.410709722888288,Doctor-written-style explanation
H2,Headache,A,5.84375,1.2727763658315447,32,0.2249971998033638,5.402755488385407,6.284744511614593,Rule-based decision path
H2,Headache,B,4.333333333333333,1.4339248065631593,96,0.14634933773328382,4.046488631376096,4.62017803529057,Local feature-attribution / key-factor explanation
H2,Headache,C,3.5714285714285716,1.1362241376617956,28,0.21472617870585212,3.1505652611651014,3.992291881692042,Counterfactual explanation
H2,Headache,D,3.0714285714285716,1.53572183628467,56,0.20521946259873491,2.6691984247350513,3.473658718122092,LLM natural-language explanation
H2,Headache,E,6.175925925925926,0.8735864812691093,108,0.08406089835352304,6.011166565153021,6.340685286698831,Doctor-written-style explanation
H3,Headache,A,6.2023809523809526,1.1799506004031917,84,0.1287431653013385,5.950044348390329,6.454717556371576,Rule-based decision path
H3,Headache,B,4.726190476190476,1.3827786803911712,84,0.1508735231491355,4.430478370818171,5.021902581562782,Local feature-attribution / key-factor explanation
H3,Headache,C,3.638888888888889,1.4373145152933704,36,0.23955241921556172,3.1693661472263877,4.10841163055139,Counterfactual explanation
H3,Headache,D,3.923076923076923,1.4930709745833544,52,0.2070516906448952,3.517255609412928,4.328898236740917,LLM natural-language explanation
H3,Headache,E,6.1875,0.914568843889166,48,0.13200664205296372,5.928766981576191,6.446233018423809,Doctor-written-style explanation
H4,Headache,A,6.216666666666667,1.026623008830353,60,0.13253646053444357,5.956895204019157,6.476438129314176,Rule-based decision path
H4,Headache,B,4.675,1.4121982146527288,80,0.15788856028336704,4.3655384218446,4.9844615781554,Local feature-attribution / key-factor explanation
H4,Headache,C,4.395833333333333,1.1982182398689354,48,0.17294790583406236,4.056855437898571,4.734811228768095,Counterfactual explanation
H4,Headache,D,4.0131578947368425,1.6772471179694546,76,0.19239343922562355,3.6360667538546205,4.390249035619065,LLM natural-language explanation
H4,Headache,E,5.921052631578948,0.8447983253571917,76,0.09690501389222086,5.731118804350195,6.110986458807701,Doctor-written-style explanation
H5,Headache,A,6.5,0.7745966692414832,36,0.12909944487358052,6.246965088047782,6.753034911952218,Rule-based decision path
H5,Headache,B,5.0,1.1258799375612023,72,0.1326862231085688,4.739935002707205,5.260064997292795,Local feature-attribution / key-factor explanation
H5,Headache,C,3.975,1.1248065937830027,80,0.12575720026193932,3.728515887486599,4.2214841125134015,Counterfactual explanation
H5,Headache,D,4.1125,1.698798905556213,80,0.18993149164629686,3.740234276373258,4.484765723626742,LLM natural-language explanation
H5,Headache,E,6.0625,0.9544130423035662,48,0.1377576567230134,5.792494992822894,6.332505007177106,Doctor-written-style explanation
N1,Nausea/vomiting/diarrhea,A,6.5125,1.09074066114426,80,0.12194851320708144,6.273480914114121,6.75151908588588,Rule-based decision path
N1,Nausea/vomiting/diarrhea,B,4.617647058823529,1.1973778785417202,68,0.14520339608839725,4.33304840249027,4.902245715156788,Local feature-attribution / key-factor explanation
N1,Nausea/vomiting/diarrhea,C,4.4,1.8180382718454353,20,0.40652571615426353,3.603209596337644,5.196790403662357,Counterfactual explanation
N1,Nausea/vomiting/diarrhea,D,3.3653846153846154,1.7267088285470142,52,0.2394514315047161,2.896059809635372,3.834709421133859,LLM natural-language explanation
N1,Nausea/vomiting/diarrhea,E,6.5,0.5070925528371099,36,0.08451542547285164,6.334349766073211,6.665650233926789,Doctor-written-style explanation
N2,Nausea/vomiting/diarrhea,A,6.454545454545454,0.9753841331435323,44,0.1470446907319614,6.16633786071081,6.742753048380099,Rule-based decision path
N2,Nausea/vomiting/diarrhea,B,5.066666666666666,1.1478301809474198,60,0.14818423916945342,4.776225557894538,5.357107775438795,Local feature-attribution / key-factor explanation
N2,Nausea/vomiting/diarrhea,C,4.636363636363637,0.942310596375889,44,0.1420586674615843,4.357928648138931,4.914798624588342,Counterfactual explanation
N2,Nausea/vomiting/diarrhea,D,3.25,1.4124793942623328,52,0.1958756492903522,2.86608372739091,3.63391627260909,LLM natural-language explanation
N2,Nausea/vomiting/diarrhea,E,5.6875,1.5622023526023097,64,0.1952752940752887,5.304760423612434,6.070239576387566,Doctor-written-style explanation
N3,Nausea/vomiting/diarrhea,A,6.589285714285714,0.7330331932031883,56,0.09795568078925711,6.39729257993877,6.781278848632659,Rule-based decision path
N3,Nausea/vomiting/diarrhea,B,5.107142857142857,0.7373267889143819,28,0.13934166560380504,4.834033192559399,5.380252521726314,Local feature-attribution / key-factor explanation
N3,Nausea/vomiting/diarrhea,C,3.890625,1.2099742552685564,64,0.15124678190856955,3.5941813074592037,4.187068692540796,Counterfactual explanation
N3,Nausea/vomiting/diarrhea,D,3.375,1.7199806200458578,40,0.2719528145346787,2.8419724835120297,3.9080275164879703,LLM natural-language explanation
N3,Nausea/vomiting/diarrhea,E,6.115384615384615,0.8779174590226076,52,0.12174524669734876,5.876763931857812,6.354005298911418,Doctor-written-style explanation
N4,Nausea/vomiting/diarrhea,A,6.357142857142857,1.2421180068162379,56,0.16598500055174648,6.031812256061434,6.68247345822428,Rule-based decision path
N4,Nausea/vomiting/diarrhea,B,4.480769230769231,1.1629978944796515,52,0.16127879006934775,4.164662802233309,4.796875659305153,Local feature-attribution / key-factor explanation
N4,Nausea/vomiting/diarrhea,C,3.9583333333333335,1.1220775245117838,24,0.22904311557492957,3.5094088268064714,4.407257839860195,Counterfactual explanation
N4,Nausea/vomiting/diarrhea,D,3.1666666666666665,1.6818357317441641,36,0.280305955290694,2.617266994296906,3.716066339036427,LLM natural-language explanation
N4,Nausea/vomiting/diarrhea,E,6.426470588235294,0.6063390625908323,68,0.07352941176470586,6.2823529411764705,6.570588235294118,Doctor-written-style explanation
N5,Nausea/vomiting/diarrhea,A,6.875,0.3415650255319866,16,0.08539125638299665,6.707633137489327,7.042366862510673,Rule-based decision path
N5,Nausea/vomiting/diarrhea,B,4.833333333333333,1.082325538564332,36,0.180387589760722,4.479773657402318,5.186893009264348,Local feature-attribution / key-factor explanation
N5,Nausea/vomiting/diarrhea,C,4.118421052631579,1.032370802417528,76,0.11842105263157894,3.886315789473684,4.350526315789473,Counterfactual explanation
N5,Nausea/vomiting/diarrhea,D,3.4210526315789473,1.7908147709519395,76,0.20542054245209057,3.0184283683728497,3.823676894785045,LLM natural-language explanation
N5,Nausea/vomiting/diarrhea,E,5.642857142857143,0.9511897312113416,28,0.17975796274454162,5.290531535877841,5.995182749836445,Doctor-written-style explanation
S1,Skin/rash/itching,A,6.75,0.4358898943540671,76,0.04999999999999997,6.652,6.848,Rule-based decision path
S1,Skin/rash/itching,B,4.2727272727272725,1.353095269229404,44,0.20398678698358436,3.872913170239447,4.672541375215098,Local feature-attribution / key-factor explanation
S1,Skin/rash/itching,C,4.571428571428571,1.4511444124621455,28,0.27424051655826975,4.033917158974362,5.10893998388278,Counterfactual explanation
S1,Skin/rash/itching,D,2.75,2.261335084333227,12,0.6527912098338668,1.470529228725621,4.029470771274379,LLM natural-language explanation
S1,Skin/rash/itching,E,6.28125,0.5811209967839964,32,0.10272864937896244,6.079901847217234,6.482598152782766,Doctor-written-style explanation
S2,Skin/rash/itching,A,6.107142857142857,1.2863754913561998,28,0.24310211734121587,5.630662707154074,6.5836230071316395,Rule-based decision path
S2,Skin/rash/itching,B,4.5,0.9336995618478529,40,0.14763086328702343,4.2106435079574345,4.7893564920425655,Local feature-attribution / key-factor explanation
S2,Skin/rash/itching,C,4.395833333333333,0.9618152902102718,48,0.13882607917839962,4.12373421814367,4.667932448522996,Counterfactual explanation
